abort	中断	
about error	エラーに関する
absolute	絶対	
abstract	抽象	
abstraction	抽象化	
accept	受け入れる	
access	アクセス	
accessor	アクセサ	
accessor method	アクセサ・メソッド
action	アクション
action Set	アクション・セット	
activate	有効にする	
activate	アクティブにする
active	アクティブ
activity	アクティビティ
actual	実際の	
actually	実際には	
adapter	アダプタ	
add	追加	
add-on	アドオン	
additional	追加	
addons	アドオン
address	アドレス	
advice	アドバイス	
advise	アドバイス	動詞
affect	影響	
aggregate	集計	
alert	アラート	
algorithm	アルゴリズム	
alias	別名
alias	エイリアス
all	すべての	
allow	許可する
along with	とともに
alphanumeric	英数字	
already	すでに
already exists	すでに存在します	
alternate	代替	
alternate	別の	
always	常に	
ambiguous	あいまいな
analysis	分析	
analyze	分析
analyze	解析	式など。
ancestry	上位	
and	および
and	～し、	文節や文をつなぐ場合
annotation	注釈	
anonymous	匿名
another	別の
any character	任意の文字
applet	アプレット	
applicable	適用可能	
applicable	適用できる	
application	アプリケーション
application	アプリケーション	
apply	適用
appropriable	適用可能	
appropriate	適切な	
architectur	アーキテクチャ
architecture	アーキテクチャ
archive	アーカイブ
are you sure you want to	～しますか
area	領域	
argument	引数	
array	配列	
array type	配列型	
artifact	成果物
artifact	アーティファクト
artifact type	成果物タイプ
as well	同時に	as well asではなくas well単独で
ascendant	上位	
aspect	アスペクト
assembly	アセンブリ	
assertion	アサーション	
assigned	割り当てられた
assignment	代入	プログラミング言語用語
assignment	割り当て	
assist	アシスト	
associated with	関連付けられている	
association	関連付け	ファイル・タイプなどファイルに関連する場合。
asynchronous	非同期
at least	少なくとも	
at startup	始動時に	
atomicity	アトミック性	
attached	添付	
attachment	添付	
attribute	属性	XML用語
attribute	アトリビュート	XML用語を除く
audio	音声	
audit	監査	
authentication	認証
author	作成者	
authority	権限
authorization	許可
auto-detect	自動検出	
auto-refresh	自動リフレッシュ
automatic	自動	
automatically	自動的に	
autowire	Autowire	Spring用語
available	使用可能
avoid	回避	
background	背景	
background color	背景色	
backup	バックアップ	
bad	不正な	
balloon	バルーン
base	ベース	
based on	基づく	
baseline	ベースライン	
behavior	動作	
behavior	振る舞い	
biase	バイアス	
binary	バイナリ	
bind	バインド	
binding	バインディング	
bit	ビット
blank	空白	
block	ブロック
blocking	ブロッキング
blueprint	ブループリント
body	本文	
bookmark	ブックマーク	
border	境界	
bottom	下部
bottom	一番下
bottom up	ボトム・アップ
bounds	制約	
boxed	ボクシングされた	
brace	中括弧	
bracket	大括弧	
branch	ブランチ	ソース・コード管理用語
breadcrumb	パンくずリスト	
